experimento,metodo,Dataset,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Df_mean,KNN_PCA,df_100,5,3,36,5.823508977890015,0.63,0.6785277777777778,0.6310648148148148,0.6106763668430336
Df_mean,KNN_PCA,df_500,5,3,36,6.592055320739746,0.8,0.8015305707364531,0.7892869907869908,0.7825337835263219
Df_mean,KNN_PCA,df_1000,5,3,36,6.398812770843506,0.874,0.870114146558507,0.8712237705089085,0.8669822885110026
Df_mean,KNN_PCA,df_5000,5,3,36,9.926537036895752,0.9362,0.9366945433360225,0.935739428807938,0.9354340670849085
Df_mean,KNN_PCA,df_10000,5,3,36,21.280422925949097,0.952,0.952246827624716,0.9519031859311129,0.9517162569971243
Df_mean,KNN_PCA,df_20000,5,3,36,56.14740204811096,0.9667999999999999,0.966959522196159,0.9663848820610099,0.9665761204067227
Df_mean,KNN_PCA,df_30000,5,3,36,117.71018767356873,0.97,0.9699006369997324,0.9696536630439401,0.969709453697939
Df_mean,KNN_PCA,df_42000,5,3,36,219.26383519172668,0.973047619047619,0.9730309514508425,0.9728543594699068,0.9728869557351641
