experimento,metodo,Dataset,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Df_std,KNN_PCA,df_100,5,3,36,0.1677339454106386,0.09797958971132711,0.10217836720304269,0.07717696737727399,0.09661462788392552
Df_std,KNN_PCA,df_500,5,3,36,0.1064852605671301,0.035213633723318,0.03653440523480583,0.03609784177217926,0.04260121306806061
Df_std,KNN_PCA,df_1000,5,3,36,0.13078785449322708,0.04442971978304612,0.042958705744002644,0.03937007060969256,0.041098990809250745
Df_std,KNN_PCA,df_5000,5,3,36,0.07078091879975211,0.008471127433818906,0.008123517689775154,0.008330135518318568,0.008326971711350587
Df_std,KNN_PCA,df_10000,5,3,36,0.36571677245911044,0.003146426544510461,0.003114365602450068,0.0035427777063296822,0.0033859222896494875
Df_std,KNN_PCA,df_20000,5,3,36,0.30466339764461037,0.0015604486534327223,0.0017180442328390303,0.0016289548504498375,0.001657840445964157
Df_std,KNN_PCA,df_30000,5,3,36,0.7045180728815463,0.001021980647783733,0.0009230757734390836,0.0008090330975209025,0.0008602973548355983
Df_std,KNN_PCA,df_42000,5,3,36,1.43009852141198,0.0017079910889962907,0.0018439717375335863,0.0017048373978911843,0.0017735565719880233
