experimento,metodo,Dataset,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Df_mean,KNN_PCA,df_100,20,3,36,30.251078844070435,0.65,0.6327777777777778,0.6466666666666666,0.6308333333333334
Df_mean,KNN_PCA,df_500,20,3,36,30.624582052230835,0.8180000000000002,0.8091183862433862,0.8068065476190476,0.7809011898595233
Df_mean,KNN_PCA,df_1000,20,3,36,32.9035267829895,0.875,0.8750951779701781,0.8775855379188713,0.8630200582476573
Df_mean,KNN_PCA,df_5000,20,3,36,38.92301154136658,0.9421999999999997,0.9426098807298795,0.9414758201787918,0.9405083410146287
Df_mean,KNN_PCA,df_10000,20,3,36,61.493364095687866,0.9528999999999999,0.9524098293529116,0.9529078205646982,0.9519799635414532
Df_mean,KNN_PCA,df_20000,20,3,36,118.11381888389587,0.9681999999999998,0.9684687680488491,0.9677110162140643,0.9678711001611194
Df_mean,KNN_PCA,df_30000,20,3,36,195.91202402114868,0.9713333333333333,0.9711724629181149,0.9710724156344355,0.9709873486146792
Df_mean,KNN_PCA,df_42000,20,3,36,337.49570512771606,0.9751904761904762,0.975176799796747,0.9750493851228634,0.9750195346663844
