experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Variamos_KNN_SinPCA_10000,KNN,1,1,0,11.157124280929565,0.943,0.9442633292096186,0.9428049748737329,0.9430948804889479
Variamos_KNN_SinPCA_10000,KNN,1,2,0,11.084510564804077,0.9265,0.9290515249285607,0.9255149994943974,0.9262025880365188
Variamos_KNN_SinPCA_10000,KNN,1,3,0,11.05539846420288,0.943,0.945141843358242,0.9425704047482201,0.9431859584878118
Variamos_KNN_SinPCA_10000,KNN,1,4,0,11.116705656051636,0.944,0.9470280360422482,0.9431409963829422,0.9440397108415844
Variamos_KNN_SinPCA_10000,KNN,1,5,0,11.058502912521362,0.944,0.9476954451474529,0.9430615239369887,0.9442031605310692
Variamos_KNN_SinPCA_10000,KNN,1,6,0,11.062255859375,0.9395,0.9444547817190996,0.9383079981663244,0.9397840749169839
Variamos_KNN_SinPCA_10000,KNN,1,7,0,11.078258275985718,0.9425,0.9468446376208683,0.9412096866968984,0.9425437559201196
Variamos_KNN_SinPCA_10000,KNN,1,8,0,11.078362226486206,0.932,0.9370691858126434,0.9304308498704396,0.9318609732047708
Variamos_KNN_SinPCA_10000,KNN,1,9,0,11.079117774963379,0.9365,0.9412256052708298,0.9349014225920804,0.9365305916167441
Variamos_KNN_SinPCA_10000,KNN,1,10,0,11.080042600631714,0.933,0.9384714111476201,0.931321425455512,0.9329336215548896
Variamos_KNN_SinPCA_10000,KNN,1,11,0,11.058592796325684,0.9355,0.9401718123252495,0.9340562190867155,0.935488864121876
Variamos_KNN_SinPCA_10000,KNN,1,12,0,11.071488857269287,0.93,0.9361765405375586,0.9282705310082655,0.9300991273502707
Variamos_KNN_SinPCA_10000,KNN,1,13,0,11.098395824432373,0.9305,0.9369817305626189,0.9290167381562305,0.9307591448580126
Variamos_KNN_SinPCA_10000,KNN,1,14,0,11.12105417251587,0.929,0.9360072982199066,0.9274272892170938,0.9293506080432353
Variamos_KNN_SinPCA_10000,KNN,1,15,0,11.079813718795776,0.9275,0.9344450208975204,0.9257450114630241,0.9276275704657466
Variamos_KNN_SinPCA_10000,KNN,1,16,0,11.089900255203247,0.929,0.9361043895085366,0.9272375804639521,0.9292694356055197
Variamos_KNN_SinPCA_10000,KNN,1,17,0,11.079409122467041,0.9275,0.9343748916553138,0.9257032087233921,0.9276241212661219
Variamos_KNN_SinPCA_10000,KNN,1,18,0,11.042488098144531,0.9245,0.9327102447609038,0.9227346748169349,0.9249771894983961
Variamos_KNN_SinPCA_10000,KNN,1,19,0,11.057204484939575,0.925,0.9325684566929233,0.923239809246432,0.9252169593141069
Variamos_KNN_SinPCA_10000,KNN,1,20,0,11.058154106140137,0.9255,0.9332181315250889,0.9236236502776464,0.9256508290918621
Variamos_KNN_SinPCA_10000,KNN,1,21,0,11.070740222930908,0.925,0.9325461044464577,0.923102906953404,0.9250163766919295
Variamos_KNN_SinPCA_10000,KNN,1,22,0,11.04991102218628,0.9225,0.9304009903511423,0.9205633267051805,0.922671007923159
Variamos_KNN_SinPCA_10000,KNN,1,23,0,11.140445232391357,0.9245,0.9325966730360566,0.9226116311380149,0.9246983534635765
Variamos_KNN_SinPCA_10000,KNN,1,24,0,11.053345203399658,0.9215,0.9302068195930626,0.9194265976308428,0.9218286272604889
Variamos_KNN_SinPCA_10000,KNN,1,25,0,11.073112487792969,0.9195,0.928350383364663,0.917306593407201,0.9196729895765159
Variamos_KNN_SinPCA_10000,KNN,1,26,0,11.086883306503296,0.9215,0.9307828808434007,0.9193124699284798,0.9219165694329533
Variamos_KNN_SinPCA_10000,KNN,1,27,0,11.091535568237305,0.9205,0.9300506365503001,0.9180723089012914,0.9206901794892153
Variamos_KNN_SinPCA_10000,KNN,1,28,0,11.528567552566528,0.9175,0.9275257610642276,0.9152225491268545,0.9179170368759962
Variamos_KNN_SinPCA_10000,KNN,1,29,0,10.545294046401978,0.918,0.9276593496421102,0.9155407266562872,0.9180952846832128
Variamos_KNN_SinPCA_10000,KNN,1,30,0,10.560343503952026,0.9145,0.9243551784068768,0.9119298376728825,0.9145673122303828
Variamos_KNN_SinPCA_10000,KNN,1,31,0,10.554355144500732,0.917,0.9267600059293871,0.9144496871807177,0.9171240803544107
Variamos_KNN_SinPCA_10000,KNN,1,32,0,10.555985689163208,0.9125,0.9235944789262728,0.9097104369625673,0.912611665454167
Variamos_KNN_SinPCA_10000,KNN,1,33,0,10.548150539398193,0.915,0.926187955444054,0.912162546761618,0.9150894292128637
Variamos_KNN_SinPCA_10000,KNN,1,34,0,10.564006567001343,0.9125,0.9243354854112162,0.9097172832370702,0.9127919787303028
Variamos_KNN_SinPCA_10000,KNN,1,35,0,10.550480842590332,0.912,0.9235162817488496,0.9092219275803197,0.9122785079520644
