experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Bucamos_alpha_en_df,KNN_PCA,1,10,1,8.592976570129395,0.12,0.15560511910238742,0.12295398221224767,0.07044546185943412
Bucamos_alpha_en_df,KNN_PCA,1,10,2,8.883701801300049,0.32175,0.3058566290361882,0.3210187520115032,0.31206971492081587
Bucamos_alpha_en_df,KNN_PCA,1,10,3,8.80089783668518,0.4875,0.4814180010278247,0.48541224804434835,0.4825786222066264
Bucamos_alpha_en_df,KNN_PCA,1,10,4,8.704352140426636,0.5805,0.5818782292151786,0.5793663076047999,0.5789153410018663
Bucamos_alpha_en_df,KNN_PCA,1,10,5,8.85578727722168,0.7295,0.7284313702196811,0.730916809007382,0.7279617412811344
Bucamos_alpha_en_df,KNN_PCA,1,10,6,8.821751594543457,0.80475,0.8051104301185216,0.8055249587179893,0.8044983300151769
Bucamos_alpha_en_df,KNN_PCA,1,10,7,8.901671409606934,0.853,0.8520362630305724,0.8533444456937707,0.8519207044674401
Bucamos_alpha_en_df,KNN_PCA,1,10,8,8.872403383255005,0.8705,0.8700138400645236,0.8710870183760238,0.8698535214055092
Bucamos_alpha_en_df,KNN_PCA,1,10,9,9.028370141983032,0.88625,0.8863127228314681,0.8870191276108581,0.8862268571888509
Bucamos_alpha_en_df,KNN_PCA,1,10,10,9.02910828590393,0.899,0.8990338542685865,0.8995440089159509,0.8987785066613739
Bucamos_alpha_en_df,KNN_PCA,1,10,11,9.185118675231934,0.911,0.9113811781019093,0.911448435932963,0.9110382899890315
Bucamos_alpha_en_df,KNN_PCA,1,10,12,9.16250991821289,0.9265,0.9273045441755368,0.9267172677164754,0.9266633625040761
Bucamos_alpha_en_df,KNN_PCA,1,10,13,9.439828395843506,0.92975,0.9306046753786511,0.9302503664547759,0.9301076960429306
Bucamos_alpha_en_df,KNN_PCA,1,10,14,9.465412139892578,0.9325,0.933527750531425,0.9326904379993526,0.9327523012174315
Bucamos_alpha_en_df,KNN_PCA,1,10,15,9.5932137966156,0.9345,0.9356246702362261,0.9348653801289875,0.9348821317671936
Bucamos_alpha_en_df,KNN_PCA,1,10,16,9.611129760742188,0.941,0.942027520520772,0.9411979560001491,0.9412997176640381
Bucamos_alpha_en_df,KNN_PCA,1,10,17,9.799142360687256,0.94375,0.9446882215798545,0.9440530210066009,0.9441192581405975
Bucamos_alpha_en_df,KNN_PCA,1,10,18,9.75431489944458,0.944,0.9449958227965771,0.944299495231601,0.9444333034574621
Bucamos_alpha_en_df,KNN_PCA,1,10,19,9.888680696487427,0.94575,0.9467734123606422,0.946122570157003,0.9462073738832799
Bucamos_alpha_en_df,KNN_PCA,1,10,20,9.784934282302856,0.94775,0.9484512360044158,0.9479373966273343,0.9480222924012415
Bucamos_alpha_en_df,KNN_PCA,1,10,21,9.976191759109497,0.95075,0.9512725710361819,0.9510594481846752,0.9509957187285231
Bucamos_alpha_en_df,KNN_PCA,1,10,22,9.994319200515747,0.95175,0.9526386238618814,0.9520277665142366,0.952092151995082
Bucamos_alpha_en_df,KNN_PCA,1,10,23,10.208892107009888,0.95075,0.9516828468743708,0.9510172712363667,0.95108788416063
Bucamos_alpha_en_df,KNN_PCA,1,10,24,10.187681674957275,0.9515,0.9524093155144356,0.951799570822897,0.9518580785887976
Bucamos_alpha_en_df,KNN_PCA,1,10,25,10.534907817840576,0.95225,0.9532107536879684,0.9524390876759135,0.9525620139282465
Bucamos_alpha_en_df,KNN_PCA,1,10,26,10.401941061019897,0.95325,0.9542554579962029,0.9533579887608397,0.9535318856381384
Bucamos_alpha_en_df,KNN_PCA,1,10,27,10.513642072677612,0.9545,0.9553650130144492,0.9546802245294904,0.9547529221699556
Bucamos_alpha_en_df,KNN_PCA,1,10,28,10.49385952949524,0.95425,0.9552455948190841,0.9543086836956775,0.9544926538030716
Bucamos_alpha_en_df,KNN_PCA,1,10,29,10.879398345947266,0.9575,0.9584382278852045,0.9575566017820645,0.9577402935552521
Bucamos_alpha_en_df,KNN_PCA,1,10,30,10.564415454864502,0.95725,0.9582738816660532,0.9572253427424604,0.9574405668685542
Bucamos_alpha_en_df,KNN_PCA,1,10,31,10.719420671463013,0.95775,0.9585856345880052,0.9577077233910091,0.9578932449993888
Bucamos_alpha_en_df,KNN_PCA,1,10,32,10.764957904815674,0.9575,0.9584554450864669,0.9575589334306602,0.9577598850852708
Bucamos_alpha_en_df,KNN_PCA,1,10,33,10.984898567199707,0.95725,0.9582910498186663,0.9573098401207233,0.9575146416196028
Bucamos_alpha_en_df,KNN_PCA,1,10,34,10.999318361282349,0.95675,0.9578127540418071,0.9568604722128022,0.9570494907522052
Bucamos_alpha_en_df,KNN_PCA,1,10,35,11.206311225891113,0.9555,0.9565430304023363,0.9556038087857741,0.9557967916788593
Bucamos_alpha_en_df,KNN_PCA,1,10,36,11.161664962768555,0.9565,0.9575071582102591,0.9565693907411441,0.9567778395582227
Bucamos_alpha_en_df,KNN_PCA,1,10,37,11.469745635986328,0.955,0.9560403398349576,0.9551488844416621,0.9553390393211181
Bucamos_alpha_en_df,KNN_PCA,1,10,38,11.45229721069336,0.9545,0.955686387380674,0.9546105317991547,0.9548313547844429
Bucamos_alpha_en_df,KNN_PCA,1,10,39,11.796579360961914,0.95525,0.9563861698394669,0.9553421235142776,0.9555809752516551
Bucamos_alpha_en_df,KNN_PCA,1,10,40,11.979268789291382,0.95425,0.9556182679259475,0.9543490309785216,0.9546729450680633
Bucamos_alpha_en_df,KNN_PCA,1,10,41,11.954174041748047,0.95475,0.9559071846413856,0.9548523937460531,0.9550880222336804
Bucamos_alpha_en_df,KNN_PCA,1,10,42,12.068386554718018,0.95425,0.9554836438714351,0.9543190585740857,0.954579553354751
Bucamos_alpha_en_df,KNN_PCA,1,10,43,12.206584930419922,0.9535,0.9548965025622312,0.9535841354063054,0.9538963204344528
Bucamos_alpha_en_df,KNN_PCA,1,10,44,12.026959657669067,0.95425,0.9555733753589806,0.9543878378599159,0.9546580720601845
Bucamos_alpha_en_df,KNN_PCA,1,10,45,12.46607756614685,0.95375,0.9550769451686707,0.9539094718459863,0.9541973561688784
Bucamos_alpha_en_df,KNN_PCA,1,10,46,12.380942821502686,0.956,0.9572345506073734,0.9561240969966314,0.9563750561489208
Bucamos_alpha_en_df,KNN_PCA,1,10,47,12.631757736206055,0.95475,0.9560636633221993,0.9549115802181728,0.9551690016466884
Bucamos_alpha_en_df,KNN_PCA,1,10,48,12.587870359420776,0.9545,0.9558517859155433,0.9546246811243316,0.9548896928607007
Bucamos_alpha_en_df,KNN_PCA,1,10,49,12.663739919662476,0.9555,0.9567758651807374,0.9555447054290814,0.9558463474198895
Bucamos_alpha_en_df,KNN_PCA,1,10,50,12.802690744400024,0.95425,0.9556072663625607,0.9542974838918667,0.9546262026534773
Bucamos_alpha_en_df,KNN_PCA,1,10,60,14.284704446792603,0.9545,0.9557590701120116,0.9544175974850603,0.9547022629847571
Bucamos_alpha_en_df,KNN_PCA,1,10,70,14.556085586547852,0.9535,0.9549806963203331,0.9534954368205509,0.9538188332712835
Bucamos_alpha_en_df,KNN_PCA,1,10,80,16.202499389648438,0.9505,0.9522319532868012,0.950484951695136,0.9508379859944969
Bucamos_alpha_en_df,KNN_PCA,1,10,90,17.80504298210144,0.95025,0.951972341489458,0.9502254275958437,0.9505804914910316
Bucamos_alpha_en_df,KNN_PCA,1,10,100,19.457324743270874,0.95075,0.952627094123059,0.9506751205012469,0.951058891052672
