experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,1,36.662193298339844,0.10297619047619047,0.15407997693764927,0.1014144491236739,0.025455344017031416
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,2,36.592689990997314,0.2904761904761905,0.2694294793050765,0.28049114980104517,0.2741597359793683
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,3,37.20722794532776,0.4610714285714286,0.4461380589334339,0.45090934981086644,0.4483501634319387
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,4,37.08602499961853,0.5464285714285714,0.5355952082468308,0.538271753052219,0.536742874878787
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,5,37.55702185630798,0.705952380952381,0.700175629008662,0.7011806439836615,0.7001412702919859
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,6,37.383134841918945,0.8001190476190476,0.7963638572576528,0.7973158412127235,0.7963624410005539
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,7,37.86002016067505,0.8541666666666666,0.8523605666084709,0.8520131339607573,0.8513088327402502
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,8,37.67357301712036,0.8825,0.880606967791843,0.8808494427760907,0.8802839490556735
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,9,38.27538061141968,0.9053571428571429,0.9036492911452164,0.9041702731151495,0.9036240561004669
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,10,38.570833683013916,0.9203571428571429,0.9191846511418282,0.9193516702802287,0.9189879024719494
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,11,37.89803409576416,0.9277380952380953,0.9266506179858137,0.9267850021568153,0.926544919568023
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,12,37.738365173339844,0.939047619047619,0.9383184289009925,0.9383728105303428,0.9381489281969291
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,13,38.56986737251282,0.9478571428571428,0.9474050529912141,0.9471402105478944,0.9471463470883748
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,14,38.76738405227661,0.9538095238095238,0.9534585190763278,0.9531828756844893,0.9531854048935425
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,15,39.077322483062744,0.955595238095238,0.9553320589671979,0.9549310303688874,0.9550293314160838
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,16,38.54725003242493,0.9603571428571429,0.9599979764779706,0.9599404611144683,0.9599156045312125
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,17,39.42477011680603,0.9616666666666667,0.961273666509682,0.961250118353935,0.9612045424435818
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,18,39.147258281707764,0.9635714285714285,0.9631843160607607,0.9632476029242449,0.9631662760625247
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,19,39.68602991104126,0.9654761904761905,0.9652640094261592,0.9649559149405219,0.9650541597102202
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,20,39.378225803375244,0.9679761904761904,0.9679386914483015,0.9674847771727576,0.9676613665076154
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,21,40.07895517349243,0.9689285714285715,0.9688456570228384,0.9685457549033789,0.9686492546396496
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,22,39.78914833068848,0.9698809523809524,0.9698592134321758,0.9694825679730604,0.9696137882406752
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,23,40.388638973236084,0.9698809523809524,0.9698067600342327,0.9695672050289496,0.9696349717663623
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,24,40.025312662124634,0.9698809523809524,0.9697016130762945,0.9695409773146751,0.9695722903582584
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,25,40.763542890548706,0.9714285714285714,0.9713554070556073,0.9711225691661787,0.9711864256264662
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,26,40.78259897232056,0.9710714285714286,0.9709572357829614,0.9707988744803332,0.9708311661745951
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,27,41.46586894989014,0.9723809523809523,0.9722606279826959,0.9720742335210872,0.972125146834158
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,28,40.9372832775116,0.9722619047619048,0.9721407397900391,0.9719105004680557,0.9719795415685197
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,29,41.4732608795166,0.9729761904761904,0.9728135349204988,0.9726619965926749,0.9726892894691597
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,30,41.14614677429199,0.9736904761904762,0.9736323640851777,0.9733648539626756,0.9734445874601013
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,31,41.76624774932861,0.9739285714285715,0.9738823678597303,0.9735965040722021,0.9736921130034277
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,32,41.35815620422363,0.9728571428571429,0.9728989706433611,0.9725219268824757,0.9726501842071038
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,33,42.306190967559814,0.974047619047619,0.9740205847657112,0.9737400501705796,0.9738215309574512
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,34,42.7862548828125,0.9735714285714285,0.9735675735100615,0.9732286706079984,0.9733324726429504
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,35,43.12276268005371,0.974047619047619,0.9740338549975569,0.9736756553906074,0.9737991056757476
Bucamos_Mejor_alpha_en_df,KNN_PCA,1,3,36,42.87202000617981,0.9746428571428571,0.9746110323827123,0.9742597859519911,0.9743846429916397
