0,1,2,3,4,5,6,7,8,9
1,4640,14,6,3,3,3,5,3,6
17,11,4079,5,1,1,3,42,13,5
2,8,29,4186,0,47,1,13,44,21
5,17,0,0,3951,0,12,12,1,74
6,3,1,35,2,3676,43,5,4,20
9,3,1,0,4,15,4102,0,3,0
3,32,16,2,7,1,0,4299,2,39
6,18,9,40,11,31,18,8,3894,28
11,7,5,24,48,11,3,40,16,4023
4098,0,1,0,1,5,17,2,4,4
1,4641,15,5,3,3,3,5,2,6
17,12,4073,7,2,1,3,44,13,5
3,8,30,4185,0,47,1,14,43,20
5,17,0,0,3952,0,12,11,1,74
6,4,1,33,2,3677,42,4,5,21
9,3,1,0,4,14,4102,0,4,0
4,32,18,3,7,0,0,4298,1,38
5,18,9,40,11,31,16,6,3899,28
11,8,6,22,51,12,3,40,14,4021
4097,0,1,0,1,7,16,2,3,5
1,4639,15,5,3,3,3,6,3,6
17,11,4077,6,1,1,3,43,13,5
3,8,30,4184,0,46,1,14,44,21
5,16,0,0,3953,0,12,11,1,74
6,3,2,32,2,3683,39,4,5,19
9,3,1,0,5,15,4102,0,2,0
2,32,17,3,7,1,0,4300,1,38
7,18,10,39,12,31,15,6,3898,27
11,8,5,22,46,13,3,40,16,4024
4098,0,1,0,1,7,16,2,3,4
1,4639,14,5,3,3,3,7,3,6
17,11,4077,7,1,1,3,43,12,5
1,7,29,4185,0,47,1,13,47,21
5,15,0,0,3951,0,13,10,1,77
6,4,1,30,2,3682,41,4,6,19
10,3,1,0,4,15,4101,0,3,0
2,32,19,3,6,1,0,4298,1,39
6,17,10,37,11,30,16,6,3902,28
11,7,6,22,46,12,3,41,17,4023
4096,0,1,0,1,7,17,2,3,5
1,4639,15,7,3,2,3,6,2,6
17,11,4075,6,2,1,3,43,14,5
2,7,30,4184,0,47,1,13,45,22
5,16,0,0,3953,0,14,10,1,73
6,4,2,31,2,3681,39,4,6,20
8,3,1,0,4,15,4102,0,4,0
2,32,17,3,6,1,0,4299,2,39
6,17,10,37,11,31,16,5,3901,29
11,7,5,21,45,12,3,40,16,4028
