experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score,confusion
Kfold_PruebaCon10000_std,KNN_PCA,13,3,31,0.1646995499344121,0.009431552234660795,0.009032203569170977,0.009349714277298823,0.00926812587054668,"[[73  0  0  0  0  0  0  0  0  0]
 [ 0 84  0  0  0  0  0  0  0  0]
 [ 0  0 69  0  0  0  0  1  0  0]
 [ 0  0  0 73  0  1  0  0  1  0]
 [ 0  0  0  0 72  0  0  0  0  3]
 [ 0  0  0  1  0 64  1  0  0  0]
 [ 1  0  0  0  0  0 74  0  0  0]
 [ 0  0  0  0  0  0  0 78  0  1]
 [ 0  0  0  0  0  1  0  0 69  0]
 [ 0  0  0  0  1  0  0  1  0 73]]"
Kfold_PruebaCon10000_std,KNN_PCA,14,3,31,0.06420309644681732,0.008859257799679679,0.008630476421345784,0.00875169693531216,0.00873791194906049,"[[68  0  0  0  0  0  0  0  0  0]
 [ 0 78  0  0  0  0  0  0  0  0]
 [ 0  0 64  0  0  0  0  1  0  0]
 [ 0  0  0 68  0  1  0  0  1  0]
 [ 0  0  0  0 67  0  0  0  0  3]
 [ 0  0  0  1  0 59  1  0  0  0]
 [ 0  0  0  0  0  0 69  0  0  0]
 [ 0  0  0  0  0  0  0 72  0  1]
 [ 0  0  0  0  0  1  0  0 64  0]
 [ 0  0  0  0  1  0  0  0  0 67]]"
Kfold_PruebaCon10000_std,KNN_PCA,15,3,31,0.06335849708920135,0.009439011464611248,0.009420356372443208,0.009428099919911531,0.009455850983535253,"[[63  0  0  0  0  0  0  0  0  0]
 [ 0 73  0  0  0  0  0  0  0  0]
 [ 0  0 60  0  0  0  0  1  0  0]
 [ 0  0  0 63  0  1  0  0  1  0]
 [ 0  0  0  0 62  0  0  0  0  3]
 [ 0  0  0  1  0 55  1  0  0  0]
 [ 0  0  0  0  0  0 64  0  0  0]
 [ 0  0  0  0  0  0  0 68  0  1]
 [ 0  0  0  0  0  1  0  0 59  0]
 [ 0  0  0  0  1  0  0  1  0 63]]"
Kfold_PruebaCon10000_std,KNN_PCA,16,3,31,0.051333010181416526,0.010476640682967041,0.010268228779315925,0.010523246307014579,0.010435454801726793,"[[59  0  0  0  0  0  0  0  0  0]
 [ 0 68  0  0  0  0  0  0  0  0]
 [ 0  0 56  0  0  0  0  1  0  0]
 [ 0  0  0 60  0  1  0  0  1  0]
 [ 0  0  0  0 59  0  0  0  0  2]
 [ 0  0  0  1  0 52  1  0  0  0]
 [ 0  0  0  0  0  0 60  0  0  0]
 [ 0  0  0  0  0  0  0 63  0  1]
 [ 0  0  0  0  0  1  0  0 56  0]
 [ 0  0  0  0  1  0  0  0  0 59]]"
Kfold_PruebaCon10000_std,KNN_PCA,17,3,31,0.1315605402830604,0.008755863377500074,0.008470204384716814,0.00846278309202251,0.00848440033843668,"[[56  0  0  0  0  0  0  0  0  0]
 [ 0 64  0  0  0  0  0  0  0  0]
 [ 0  0 53  0  0  0  0  0  0  0]
 [ 0  0  0 56  0  1  0  0  1  0]
 [ 0  0  0  0 55  0  0  0  0  2]
 [ 0  0  0  1  0 49  1  0  0  0]
 [ 0  0  0  0  0  0 56  0  0  0]
 [ 0  0  0  0  0  0  0 59  0  0]
 [ 0  0  0  0  0  1  0  0 52  0]
 [ 0  0  0  0  1  0  0  0  0 55]]"
Kfold_PruebaCon10000_std,KNN_PCA,18,3,31,0.04962907475825749,0.008590919398251635,0.008280597039594195,0.00820308719567895,0.00836068182027938,"[[53  0  0  0  0  0  0  0  0  0]
 [ 0 60  0  0  0  0  0  0  0  0]
 [ 0  0 50  0  0  0  0  0  0  0]
 [ 0  0  0 53  0  1  0  0  1  0]
 [ 0  0  0  0 52  0  0  0  0  2]
 [ 0  0  0  1  0 46  1  0  0  0]
 [ 0  0  0  0  0  0 53  0  0  0]
 [ 0  0  0  0  0  0  0 56  0  0]
 [ 0  0  0  0  0  1  0  0 50  0]
 [ 0  0  0  0  1  0  0  0  0 52]]"
Kfold_PruebaCon10000_std,KNN_PCA,19,3,31,0.06560094428900615,0.009058996470056672,0.009036789236111646,0.008724339406496497,0.008988441328450836,"[[50  0  0  0  0  0  0  0  0  0]
 [ 0 57  0  0  0  0  0  0  0  0]
 [ 0  0 47  0  0  0  0  0  0  0]
 [ 0  0  0 50  0  1  0  0  0  0]
 [ 0  0  0  0 49  0  0  0  0  2]
 [ 0  0  0  1  0 44  1  0  0  0]
 [ 0  0  0  0  0  0 50  0  0  0]
 [ 0  0  0  0  0  0  0 53  0  0]
 [ 0  0  0  0  0  1  0  0 47  0]
 [ 0  0  0  0  1  0  0  0  0 49]]"
Kfold_PruebaCon10000_std,KNN_PCA,20,3,31,0.049809604113078144,0.010007996802557437,0.010047415614058178,0.009857046156487088,0.010128990300684749,"[[47  0  0  0  0  0  0  0  0  0]
 [ 0 54  0  0  0  0  0  0  0  0]
 [ 0  0 45  0  0  0  0  0  0  0]
 [ 0  0  0 47  0  1  0  0  0  0]
 [ 0  0  0  0 47  0  0  0  0  2]
 [ 0  0  0  0  0 41  0  0  0  0]
 [ 0  0  0  0  0  0 48  0  0  0]
 [ 0  0  0  0  0  0  0 51  0  0]
 [ 0  0  0  0  0  1  0  0 44  0]
 [ 0  0  0  0  1  0  0  0  0 47]]"
Kfold_PruebaCon10000_std,KNN_PCA,21,3,31,0.05242160316596516,0.010114763210838956,0.009730686565756536,0.010110599492655895,0.010172375356106716,"[[45  0  0  0  0  0  0  0  0  0]
 [ 0 52  0  0  0  0  0  0  0  0]
 [ 0  0 43  0  0  0  0  0  0  0]
 [ 0  0  0 45  0  0  0  0  0  0]
 [ 0  0  0  0 45  0  0  0  0  2]
 [ 0  0  0  0  0 39  0  0  0  0]
 [ 0  0  0  0  0  0 46  0  0  0]
 [ 0  0  0  0  0  0  0 48  0  0]
 [ 0  0  0  0  0  0  0  0 42  0]
 [ 0  0  0  0  1  0  0  0  0 45]]"
Kfold_PruebaCon10000_std,KNN_PCA,22,3,31,0.12696624273918528,0.010319226083243045,0.01084191268719916,0.010414145769736347,0.010911465663429772,"[[43  0  0  0  0  0  0  0  0  0]
 [ 0 49  0  0  0  0  0  0  0  0]
 [ 0  0 41  0  0  0  0  0  0  0]
 [ 0  0  0 43  0  0  0  0  0  0]
 [ 0  0  0  0 43  0  0  0  0  2]
 [ 0  0  0  0  0 38  0  0  0  0]
 [ 0  0  0  0  0  0 43  0  0  0]
 [ 0  0  0  0  0  0  0 46  0  0]
 [ 0  0  0  0  0  0  0  0 40  0]
 [ 0  0  0  0  0  0  0  0  0 43]]"
