experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score,confusion
Kfold_PruebaCon10000_mean,KNN_PCA,14,3,31,2.631952098437718,0.9532005809316734,0.9533593550793956,0.9533243305730632,0.9528658308905301,"[[68  0  0  0  0  0  0  0  0  0]
 [ 0 78  0  0  0  0  0  0  0  0]
 [ 0  0 64  0  0  0  0  1  0  0]
 [ 0  0  0 68  0  1  0  0  1  0]
 [ 0  0  0  0 67  0  0  0  0  3]
 [ 0  0  0  1  0 59  1  0  0  0]
 [ 0  0  0  0  0  0 69  0  0  0]
 [ 0  0  0  0  0  0  0 72  0  1]
 [ 0  0  0  0  0  1  0  0 64  0]
 [ 0  0  0  0  1  0  0  0  0 67]]"
Kfold_PruebaCon10000_mean,KNN_PCA,15,3,31,2.585848395029704,0.9524015769892832,0.9527917424553967,0.9526305437819313,0.9521891565773302,"[[63  0  0  0  0  0  0  0  0  0]
 [ 0 73  0  0  0  0  0  0  0  0]
 [ 0  0 60  0  0  0  0  1  0  0]
 [ 0  0  0 63  0  1  0  0  1  0]
 [ 0  0  0  0 62  0  0  0  0  3]
 [ 0  0  0  1  0 55  1  0  0  0]
 [ 0  0  0  0  0  0 64  0  0  0]
 [ 0  0  0  0  0  0  0 68  0  1]
 [ 0  0  0  0  0  1  0  0 59  0]
 [ 0  0  0  0  1  0  0  1  0 63]]"
Kfold_PruebaCon10000_mean,KNN_PCA,16,3,31,2.5683984458446503,0.9536,0.9539990027598831,0.9536834716412168,0.9533230950800694,"[[59  0  0  0  0  0  0  0  0  0]
 [ 0 68  0  0  0  0  0  0  0  0]
 [ 0  0 56  0  0  0  0  1  0  0]
 [ 0  0  0 60  0  1  0  0  1  0]
 [ 0  0  0  0 59  0  0  0  0  2]
 [ 0  0  0  1  0 52  1  0  0  0]
 [ 0  0  0  0  0  0 60  0  0  0]
 [ 0  0  0  0  0  0  0 63  0  1]
 [ 0  0  0  0  0  1  0  0 56  0]
 [ 0  0  0  0  1  0  0  0  0 59]]"
Kfold_PruebaCon10000_mean,KNN_PCA,17,3,31,2.656812205034144,0.9536006253095465,0.9539073725069446,0.9536396456420133,0.9532179980463863,"[[56  0  0  0  0  0  0  0  0  0]
 [ 0 64  0  0  0  0  0  0  0  0]
 [ 0  0 53  0  0  0  0  0  0  0]
 [ 0  0  0 56  0  1  0  0  1  0]
 [ 0  0  0  0 55  0  0  0  0  2]
 [ 0  0  0  1  0 49  1  0  0  0]
 [ 0  0  0  0  0  0 56  0  0  0]
 [ 0  0  0  0  0  0  0 59  0  0]
 [ 0  0  0  0  0  1  0  0 52  0]
 [ 0  0  0  0  1  0  0  0  0 55]]"
Kfold_PruebaCon10000_mean,KNN_PCA,18,3,31,2.4203292396333485,0.9538005631530813,0.9540342032012129,0.9535833197798045,0.9532258981861467,"[[53  0  0  0  0  0  0  0  0  0]
 [ 0 60  0  0  0  0  0  0  0  0]
 [ 0  0 50  0  0  0  0  0  0  0]
 [ 0  0  0 53  0  1  0  0  1  0]
 [ 0  0  0  0 52  0  0  0  0  2]
 [ 0  0  0  1  0 46  1  0  0  0]
 [ 0  0  0  0  0  0 53  0  0  0]
 [ 0  0  0  0  0  0  0 56  0  0]
 [ 0  0  0  0  0  1  0  0 50  0]
 [ 0  0  0  0  1  0  0  0  0 52]]"
Kfold_PruebaCon10000_mean,KNN_PCA,19,3,31,2.40667041979338,0.9531001333247768,0.953647479127357,0.9535121394437713,0.952983921395473,"[[50  0  0  0  0  0  0  0  0  0]
 [ 0 57  0  0  0  0  0  0  0  0]
 [ 0  0 47  0  0  0  0  0  0  0]
 [ 0  0  0 50  0  1  0  0  0  0]
 [ 0  0  0  0 49  0  0  0  0  2]
 [ 0  0  0  1  0 44  1  0  0  0]
 [ 0  0  0  0  0  0 50  0  0  0]
 [ 0  0  0  0  0  0  0 53  0  0]
 [ 0  0  0  0  0  1  0  0 47  0]
 [ 0  0  0  0  1  0  0  0  0 49]]"
Kfold_PruebaCon10000_mean,KNN_PCA,20,3,31,2.374663603305817,0.9532,0.9531748980681478,0.9531684230425113,0.9525681553483661,"[[47  0  0  0  0  0  0  0  0  0]
 [ 0 54  0  0  0  0  0  0  0  0]
 [ 0  0 45  0  0  0  0  0  0  0]
 [ 0  0  0 47  0  1  0  0  0  0]
 [ 0  0  0  0 47  0  0  0  0  2]
 [ 0  0  0  0  0 41  0  0  0  0]
 [ 0  0  0  0  0  0 48  0  0  0]
 [ 0  0  0  0  0  0  0 51  0  0]
 [ 0  0  0  0  0  1  0  0 44  0]
 [ 0  0  0  0  1  0  0  0  0 47]]"
Kfold_PruebaCon10000_mean,KNN_PCA,21,3,31,2.349825075694493,0.9535015263967223,0.9536665593107203,0.9535050677367019,0.9529415349905671,"[[45  0  0  0  0  0  0  0  0  0]
 [ 0 52  0  0  0  0  0  0  0  0]
 [ 0  0 43  0  0  0  0  0  0  0]
 [ 0  0  0 45  0  0  0  0  0  0]
 [ 0  0  0  0 45  0  0  0  0  2]
 [ 0  0  0  0  0 39  0  0  0  0]
 [ 0  0  0  0  0  0 46  0  0  0]
 [ 0  0  0  0  0  0  0 48  0  0]
 [ 0  0  0  0  0  0  0  0 42  0]
 [ 0  0  0  0  1  0  0  0  0 45]]"
Kfold_PruebaCon10000_mean,KNN_PCA,22,3,31,2.363574255596508,0.9539016050029264,0.9538063752355743,0.9538863545843981,0.9531503446215212,"[[43  0  0  0  0  0  0  0  0  0]
 [ 0 49  0  0  0  0  0  0  0  0]
 [ 0  0 41  0  0  0  0  0  0  0]
 [ 0  0  0 43  0  0  0  0  0  0]
 [ 0  0  0  0 43  0  0  0  0  2]
 [ 0  0  0  0  0 38  0  0  0  0]
 [ 0  0  0  0  0  0 43  0  0  0]
 [ 0  0  0  0  0  0  0 46  0  0]
 [ 0  0  0  0  0  0  0  0 40  0]
 [ 0  0  0  0  0  0  0  0  0 43]]"
Kfold_PruebaCon10000_mean,KNN_PCA,23,3,31,2.5428014838177226,0.9530034521909556,0.9530679397452423,0.9534485124503757,0.9525348117830793,"[[41  0  0  0  0  0  0  0  0  0]
 [ 0 47  0  0  0  0  0  0  0  0]
 [ 0  0 39  0  0  0  0  0  0  0]
 [ 0  0  0 41  0  0  0  0  0  0]
 [ 0  0  0  0 41  0  0  0  0  2]
 [ 0  0  0  0  0 36  0  0  0  0]
 [ 0  0  0  0  0  0 41  0  0  0]
 [ 0  0  0  0  0  0  0 44  0  0]
 [ 0  0  0  0  0  0  0  0 39  0]
 [ 0  0  0  0  0  0  0  0  0 41]]"
