experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score
Kfold_mean,KNN_PCA,1,3,36,45.19842839241028,0.9746428571428571,0.9746110323827123,0.9742597859519911,0.9743846429916397
Kfold_mean,KNN_PCA,2,3,36,125.72551369667053,0.9686190476190476,0.9686231129307257,0.9683547076535237,0.968433319481319
Kfold_mean,KNN_PCA,3,3,36,174.54654455184937,0.9718809523809524,0.9718856712201734,0.9716430328031689,0.9717092342522623
Kfold_mean,KNN_PCA,4,3,36,197.43490719795227,0.9729523809523809,0.972960698383325,0.972751630552657,0.9727999079158882
Kfold_mean,KNN_PCA,5,3,36,216.85012245178223,0.973047619047619,0.9730309514508425,0.9728543594699068,0.9728869557351641
Kfold_mean,KNN_PCA,6,3,36,230.6705825328827,0.9739285714285716,0.9739699967384526,0.9737026677674603,0.973785527950305
Kfold_mean,KNN_PCA,7,3,36,244.15917253494263,0.9740000000000001,0.9739860667368772,0.9737850817675787,0.9738276297058509
Kfold_mean,KNN_PCA,8,3,36,254.43898630142212,0.9743809523809525,0.9743534871639047,0.9742368107908101,0.9742307518449733
Kfold_mean,KNN_PCA,9,3,36,264.4713294506073,0.9744523585812492,0.9744581192180346,0.97429837098986,0.9743157009423941
Kfold_mean,KNN_PCA,10,3,36,271.92612314224243,0.9743809523809525,0.9743803058022055,0.9742466773358041,0.9742475256372115
Kfold_mean,KNN_PCA,11,3,36,279.8859748840332,0.9748333506473412,0.9748115464032717,0.9746497444620507,0.9746568520681169
Kfold_mean,KNN_PCA,12,3,36,290.10992908477783,0.9747142857142858,0.9747096073803106,0.9745338623195173,0.9745484388068908
Kfold_mean,KNN_PCA,13,3,36,301.3824543952942,0.9748333913050146,0.9748106292210299,0.97460448457934,0.9746325672705828
Kfold_mean,KNN_PCA,14,3,36,302.7397680282593,0.9748809523809524,0.9748463560496264,0.9746509399584279,0.9746761098675194
Kfold_mean,KNN_PCA,15,3,36,309.44666266441345,0.9747142857142858,0.9747104472937456,0.9745586957025334,0.9745508740160289
Kfold_mean,KNN_PCA,16,3,36,315.99757051467896,0.9749047619047619,0.9748694819734971,0.9747636215722653,0.9747269320371795
Kfold_mean,KNN_PCA,17,3,36,322.256520986557,0.9749048283739872,0.9749127125419731,0.9747193466355979,0.9747355557757686
Kfold_mean,KNN_PCA,18,3,36,330.2444634437561,0.9751665670278354,0.9751500254397071,0.9749545090403051,0.9749619183167462
Kfold_mean,KNN_PCA,19,3,36,334.8806645870209,0.975143055425852,0.9751563242291457,0.9750042720362594,0.9749984014237669
Kfold_mean,KNN_PCA,20,3,36,340.916690826416,0.9751904761904762,0.975176799796747,0.9750493851228634,0.9750195346663844
